# stack area ntrue nmarginal ra_stk dec_stk nobs observations
acisfJ0058262m272948_001 460.9 50 12 14.6095174468 -27.4966827657 1 02247_000
acisfJ0058300m713533_001 42.2 1 0 14.6257369188 -71.5923734124 2 00082_001,00082_002
acisfJ0058382m274914_001 460.8 39 8 14.659399792 -27.8207097048 1 02248_000
acisfJ0058411m714626_001 79.8 2 0 14.6713728461 -71.7739953495 1 04540_000
acisfJ0058440p301912_001 459.9 13 4 14.6835706554 30.3202375599 1 03309_000
acisfJ0059030m721027_001 459.1 92 27 14.7625728779 -72.1743372222 1 01881_000
acisfJ0059139p605342_001 453.9 42 11 14.8082222649 60.8951868693 1 08892_000
acisfJ0059151p153826_001 199.0 3 0 14.8130541016 15.6408184352 1 09192_000
acisfJ0059161m005244_001 382.0 50 16 14.8172726562 -0.87905656854 1 16227_000
acisfJ0059230p000335_001 447.0 9 2 14.8458343123 0.0598477603596 1 02179_000
acisfJ0059280m263107_001 317.5 17 2 14.8670626697 -26.5187118495 2 13678_000,13679_001
acisfJ0059492m073428_001 227.4 23 5 14.9553685843 -7.5744868577 1 12979_000
acisfJ0059552m731837_001 457.6 20 7 14.9800864283 -73.3102943993 1 05498_000
acisfJ0100089m334203_001 942.5 146 33 15.0382918301 -33.7022543551 12 04698_000,04699_000,04700_000,04701_001,04702_000,04703_000,04704_001,04705_000,04706_002,04707_001,04708_000,09555_000
acisfJ0100111m334250_001 954.3 96 31 15.0463785693 -33.7141523562 10 04709_001,04710_000,04711_000,04712_000,04713_000,04714_001,04715_001,04716_001,04717_000,04718_000
acisfJ0100158m720036_001 444.8 19 4 15.0660244857 -72.0101032446 1 05136_000
acisfJ0100246m720704_001 451.2 18 3 15.1025303517 -72.1179723937 1 06764_000
acisfJ0100321m020011_001 12.3 2 0 15.134046979 -2.0031522373 1 04131_000
